General Project,Contact Person's Last Name,Site Name,Country,Timezone,Easting,Northing,UTM zone,General Sampling Period Name,General Sampling Period Name,Photo Date,Photo Time,Class,Order,Family,Genus,Species,Number of Animals,Camera Start Date and Time,Camera End Date and Time,Camera Make,Camera Model,Flash (Yes or No),Baited_unbaited,Bait type (if applicable),Photos per trigger,Species Diet Description,Common Name
UWIN Edmonton,Stevenson,EDALA02RVR1,Canada,GMT-6,340766.7907,5936966.78,12U,,,9/21/2018,20:14:42,Mammalia,Carnivora,Felidae,Felis,catus,1,8/2/2018,9/24/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02RVR1,Canada,GMT-6,340766.7907,5936966.78,12U,,,9/21/2018,20:14:44,Mammalia,Carnivora,Felidae,Felis,catus,1,8/2/2018,9/24/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02RVR1,Canada,GMT-6,340766.7907,5936966.78,12U,,,9/21/2018,20:14:44,Mammalia,Carnivora,Felidae,Felis,catus,1,8/2/2018,9/24/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02RVR1,Canada,GMT-6,340766.7907,5936966.78,12U,,,8/17/2019,1:49:32,Mammalia,Carnivora,Felidae,Felis,catus,1,8/7/2019,9/25/2019,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02RVR1,Canada,GMT-6,340766.7907,5936966.78,12U,,,8/17/2019,1:49:33,Mammalia,Carnivora,Felidae,Felis,catus,1,8/7/2019,9/25/2019,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02RVR1,Canada,GMT-6,340766.7907,5936966.78,12U,,,8/17/2019,1:49:34,Mammalia,Carnivora,Felidae,Felis,catus,1,8/7/2019,9/25/2019,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02RVR1,Canada,GMT-6,340766.7907,5936966.78,12U,,,9/29/2019,0:28:02,Mammalia,Carnivora,Felidae,Felis,catus,1,9/25/2019,12/20/2019,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02RVR1,Canada,GMT-6,340766.7907,5936966.78,12U,,,9/29/2019,0:28:03,Mammalia,Carnivora,Felidae,Felis,catus,1,9/25/2019,12/20/2019,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02RVR1,Canada,GMT-6,340766.7907,5936966.78,12U,,,9/29/2019,0:28:04,Mammalia,Carnivora,Felidae,Felis,catus,1,9/25/2019,12/20/2019,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA03BAN1,Canada,GMT-6,343661.0691,5942626.116,12U,,,6/16/2018,0:00:10,Mammalia,Carnivora,Felidae,Felis,catus,1,5/24/2018,6/29/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA03BAN1,Canada,GMT-6,343661.0691,5942626.116,12U,,,6/16/2018,0:00:11,Mammalia,Carnivora,Felidae,Felis,catus,1,5/24/2018,6/29/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALB01ROS1,Canada,GMT-6,334892.4823,5934090.42,12U,,,8/22/2018,3:39:12,Mammalia,Carnivora,Felidae,Felis,catus,1,8/1/2018,9/26/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALB01ROS1,Canada,GMT-6,334892.4823,5934090.42,12U,,,8/22/2018,3:39:14,Mammalia,Carnivora,Felidae,Felis,catus,1,8/1/2018,9/26/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALB01ROS1,Canada,GMT-6,334892.4823,5934090.42,12U,,,8/22/2018,3:39:15,Mammalia,Carnivora,Felidae,Felis,catus,1,8/1/2018,9/26/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALB02MIG1,Canada,GMT-6,338906.8491,5929086.128,12U,UWIN Season Fall 3,Season Fall 3,10/26/2020,6:23:24,Mammalia,Carnivora,Felidae,Felis,catus,1,8/4/2020,11/10/2020,RECONYX,HC600 HYPERFIRE,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALB02MIG1,Canada,GMT-6,338906.8491,5929086.128,12U,UWIN Season Fall 3,Season Fall 3,10/26/2020,6:23:25,Mammalia,Carnivora,Felidae,Felis,catus,1,8/4/2020,11/10/2020,RECONYX,HC600 HYPERFIRE,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALB02MIG1,Canada,GMT-6,338906.8491,5929086.128,12U,UWIN Season Fall 3,Season Fall 3,10/26/2020,6:23:26,Mammalia,Carnivora,Felidae,Felis,catus,1,8/4/2020,11/10/2020,RECONYX,HC600 HYPERFIRE,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALC03EDG2,Canada,GMT-6,322969.6156,5927432.072,12U,,,5/27/2020,0:50:07,Mammalia,Carnivora,Felidae,Felis,catus,1,12/12/2019,6/5/2020,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALC03EDG2,Canada,GMT-6,322969.6156,5927432.072,12U,,,5/27/2020,0:50:09,Mammalia,Carnivora,Felidae,Felis,catus,1,12/12/2019,6/5/2020,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
